Date,Open,High,Low,Close,Adj Close,Volume
2019-07-19,5.800000,5.810000,5.760000,5.780000,5.780000,5420100
2019-07-22,5.810000,5.810000,5.730000,5.800000,5.800000,1036100
2019-07-23,5.800000,5.870000,5.740000,5.760000,5.760000,2828000
2019-07-24,5.730000,5.780000,5.720000,5.750000,5.750000,1995800
2019-07-25,5.730000,5.780000,5.730000,5.750000,5.750000,4818000
2019-07-26,5.750000,5.750000,5.660000,5.700000,5.700000,1442000
2019-07-29,5.680000,5.760000,5.650000,5.750000,5.750000,1795900
2019-07-31,5.790000,5.790000,5.650000,5.740000,5.740000,7244200
2019-08-01,5.700000,5.790000,5.650000,5.760000,5.760000,2181300
2019-08-02,5.720000,5.760000,5.680000,5.730000,5.730000,4145100
2019-08-05,5.680000,5.750000,5.660000,5.680000,5.680000,3211600
2019-08-06,5.600000,5.770000,5.600000,5.680000,5.680000,7056000
2019-08-07,5.630000,5.870000,5.630000,5.750000,5.750000,6586500
2019-08-08,5.800000,5.850000,5.720000,5.750000,5.750000,4831300
2019-08-09,5.800000,5.870000,5.720000,5.730000,5.730000,4271200
2019-08-13,5.680000,5.690000,5.630000,5.660000,5.660000,7619000
2019-08-14,5.700000,5.750000,5.660000,5.660000,5.660000,4681800
2019-08-15,5.630000,5.680000,5.550000,5.680000,5.680000,1958300
2019-08-16,5.640000,5.690000,5.600000,5.690000,5.690000,3546200
2019-08-19,5.670000,5.800000,5.670000,5.690000,5.690000,3474600
2019-08-20,5.690000,5.700000,5.660000,5.680000,5.680000,5499300
2019-08-21,5.680000,5.740000,5.660000,5.660000,5.660000,8248100
2019-08-22,5.720000,5.720000,5.620000,5.670000,5.670000,8181300
2019-08-23,5.590000,5.800000,5.590000,5.680000,5.680000,10103000
2019-08-26,5.680000,5.750000,5.650000,5.700000,5.700000,2339500
2019-08-27,5.780000,5.850000,5.730000,5.730000,5.730000,16726300
2019-08-28,5.790000,5.790000,5.700000,5.750000,5.750000,4497000
2019-08-29,5.790000,5.800000,5.670000,5.770000,5.770000,3938700
2019-08-30,5.770000,5.840000,5.760000,5.790000,5.790000,5854100
2019-09-03,5.820000,5.880000,5.740000,5.760000,5.760000,10912000
2019-09-04,5.810000,5.810000,5.730000,5.760000,5.760000,3254600
2019-09-05,5.800000,5.880000,5.730000,5.760000,5.760000,4266800
2019-09-06,5.760000,5.850000,5.750000,5.800000,5.800000,3801100
2019-09-10,null,null,null,null,null,null
2019-09-11,5.750000,5.800000,5.750000,5.800000,5.800000,3717700
2019-09-12,5.820000,5.820000,5.650000,5.690000,5.690000,2241400
2019-09-13,5.680000,5.690000,5.630000,5.660000,5.660000,3478400
2019-09-17,5.650000,5.790000,5.630000,5.690000,5.690000,3349300
2019-09-18,5.770000,5.790000,5.690000,5.750000,5.750000,2380100
2019-09-19,5.750000,5.790000,5.640000,5.650000,5.650000,1653500
2019-09-20,5.660000,5.720000,5.620000,5.700000,5.700000,10010600
2019-09-23,5.700000,5.730000,5.630000,5.690000,5.690000,1526800
2019-09-24,5.700000,5.700000,5.630000,5.700000,5.700000,2053900
2019-09-25,5.740000,5.740000,5.620000,5.700000,5.700000,1478100
2019-09-26,5.660000,5.710000,5.650000,5.710000,5.710000,1561300
2019-09-27,5.710000,5.720000,5.650000,5.700000,5.700000,4136600
2019-09-30,5.650000,5.700000,5.640000,5.680000,5.680000,3458900
2019-10-01,5.690000,5.720000,5.650000,5.680000,5.680000,2574600
2019-10-02,5.720000,5.740000,5.590000,5.640000,5.640000,3744900
2019-10-03,5.720000,5.720000,5.610000,5.670000,5.670000,1040700
2019-10-04,null,null,null,null,null,null
2019-10-07,5.650000,5.670000,5.620000,5.660000,5.660000,272700
2019-10-08,5.670000,5.700000,5.610000,5.670000,5.670000,2732700
2019-10-09,5.620000,5.690000,5.620000,5.670000,5.670000,794800
2019-10-10,5.710000,5.710000,5.620000,5.670000,5.670000,1140300
2019-10-11,5.680000,5.680000,5.600000,5.650000,5.650000,1433900
2019-10-14,5.680000,5.770000,5.640000,5.770000,5.770000,535300
2019-10-15,5.750000,5.750000,5.590000,5.630000,5.630000,4961200
2019-10-16,5.640000,5.710000,5.610000,5.700000,5.700000,1803400
2019-10-17,5.660000,5.740000,5.660000,5.740000,5.740000,2574400
2019-10-18,5.670000,5.700000,5.650000,5.670000,5.670000,2523000
2019-10-21,5.670000,5.670000,5.640000,5.660000,5.660000,1762500
2019-10-22,5.670000,5.730000,5.640000,5.690000,5.690000,2446100
2019-10-23,5.690000,5.710000,5.620000,5.640000,5.640000,3847900
2019-10-24,5.630000,5.670000,5.610000,5.650000,5.650000,3035000
2019-10-25,5.660000,5.720000,5.630000,5.720000,5.720000,3439800
2019-10-29,5.700000,5.740000,5.670000,5.730000,5.730000,3169500
2019-10-30,5.730000,5.750000,5.660000,5.740000,5.740000,2289900
2019-10-31,5.740000,5.800000,5.680000,5.700000,5.700000,6533300
2019-11-01,5.700000,5.760000,5.590000,5.620000,5.620000,6190800
2019-11-04,5.660000,5.660000,5.580000,5.590000,5.590000,7933600
2019-11-05,5.490000,5.610000,5.490000,5.520000,5.520000,9726300
2019-11-06,5.550000,5.580000,5.520000,5.540000,5.540000,8473000
2019-11-07,5.550000,5.660000,5.510000,5.550000,5.550000,5282000
2019-11-08,5.560000,5.590000,5.510000,5.510000,5.510000,6490300
2019-11-11,null,null,null,null,null,null
2019-11-12,5.490000,5.490000,5.380000,5.440000,5.440000,8313300
2019-11-13,5.440000,5.450000,5.390000,5.390000,5.390000,6644700
2019-11-14,5.390000,5.400000,5.240000,5.240000,5.240000,8804800
2019-11-15,null,null,null,null,null,null
2019-11-18,5.350000,5.600000,5.350000,5.560000,5.560000,1856000
2019-11-19,5.640000,5.640000,5.390000,5.450000,5.450000,3041700
2019-11-20,5.390000,5.500000,5.380000,5.440000,5.440000,3762800
2019-11-21,5.500000,5.500000,5.380000,5.450000,5.450000,5269500
2019-11-22,5.420000,5.490000,5.360000,5.440000,5.440000,4088600
2019-11-25,5.400000,5.510000,5.400000,5.450000,5.450000,2896400
2019-11-26,5.410000,5.470000,5.400000,5.400000,5.400000,21180700
2019-11-27,5.400000,5.430000,5.380000,5.400000,5.400000,4940800
2019-11-28,5.410000,5.410000,5.370000,5.380000,5.380000,2857900
2019-11-29,5.380000,5.430000,5.300000,5.370000,5.370000,4663400
2019-12-02,5.370000,5.420000,5.350000,5.400000,5.400000,4033400
2019-12-03,5.390000,5.390000,5.220000,5.350000,5.350000,3672000
2019-12-04,5.390000,5.390000,5.210000,5.290000,5.290000,7806500
2019-12-05,5.300000,5.340000,5.230000,5.300000,5.300000,5529300
2019-12-06,5.300000,5.300000,5.240000,5.270000,5.270000,4603900
2019-12-09,5.280000,5.280000,5.150000,5.250000,5.250000,4709500
2019-12-10,5.200000,5.280000,5.180000,5.250000,5.250000,1191100
2019-12-11,5.200000,5.460000,5.200000,5.400000,5.400000,1858500
2019-12-12,5.350000,5.450000,5.350000,5.360000,5.360000,5150400
2019-12-13,5.440000,5.480000,5.360000,5.400000,5.400000,2299300
2019-12-16,5.360000,5.380000,5.310000,5.350000,5.350000,3221200
2019-12-17,5.350000,5.520000,5.330000,5.450000,5.450000,4172900
2019-12-18,5.500000,5.930000,5.450000,5.930000,5.930000,4390100
